2 100
95.9596 9208.2441 37504.6934 
-27.2727 743.8017 2784.2975 
31.3131 980.5122 4141.2407 
59.5960 3551.6784 14623.8853 
-31.3131 980.5122 3702.8569 
-73.7374 5437.2003 21232.6395 
-41.4141 1715.1311 6570.6254 
-81.8182 6694.2149 26204.1322 
-15.1515 229.5684 812.2130 
53.5354 2866.0341 11838.8838 
-97.9798 9600.0408 37714.3047 
-55.5556 3086.4198 11956.7901 
-65.6566 4310.7846 16783.5425 
85.8586 7371.6968 30087.7972 
-69.6970 4857.6676 18942.7916 
49.4949 2449.7500 10145.4647 
65.6566 4310.7846 17702.7344 
-91.9192 8449.1378 33153.1170 
-23.2323 539.7408 1996.3371 
-37.3737 1396.7962 5325.5688 
-49.4949 2449.7500 9452.5355 
-67.6768 4580.1449 17846.8422 
69.6970 4857.6676 19918.5491 
73.7374 5437.2003 22264.9628 
-71.7172 5143.3527 20071.3907 
-11.1111 123.4568 416.0494 
7.0707 49.9949 249.4745 
-29.2929 858.0757 3227.2523 
27.2727 743.8017 3166.1157 
33.3333 1111.1111 4677.7778 
-45.4545 2066.1157 7946.2810 
23.2323 539.7408 2321.5896 
-100.0000 10000.0000 39300.0000 
75.7576 5739.2103 23487.1442 
77.7778 6049.3827 24741.9753 
100.0000 10000.0000 40700.0000 
61.6162 3796.5514 15617.5186 
93.9394 8824.6097 35956.0147 
57.5758 3314.9679 13662.9017 
-57.5758 3314.9679 12856.8411 
-21.2121 449.9541 1651.3315 
-93.9394 8824.6097 34640.8632 
43.4343 1886.5422 7850.2092 
21.2121 449.9541 1948.3012 
-43.4343 1886.5422 7242.1284 
29.2929 858.0757 3637.3533 
91.9192 8449.1378 34439.9857 
79.7980 6367.7176 26029.4562 
-47.4747 2253.8516 8683.0834 
15.1515 229.5684 1024.3343 
63.6364 4049.5868 16643.8017 
-95.9596 9208.2441 36161.2591 
39.3939 1551.8825 6483.2874 
-63.6364 4049.5868 15752.8926 
47.4747 2253.8516 9347.7298 
41.4141 1715.1311 7150.4234 
-5.0505 25.5076 66.6769 
-53.5354 2866.0341 11089.3888 
5.0505 25.5076 137.3839 
-75.7576 5739.2103 22426.5381 
55.5556 3086.4198 12734.5679 
97.9798 9600.0408 39086.0218 
-33.3333 1111.1111 4211.1111 
3.0303 9.1827 57.9431 
-19.1919 368.3298 1338.9756 
-35.3535 1249.8725 4752.0151 
35.3535 1249.8725 5246.9646 
71.7172 5143.3527 21075.4311 
-87.8788 7722.6814 30275.5739 
17.1717 294.8679 1299.6735 
-13.1313 172.4314 597.8063 
-51.5152 2653.8108 10254.6373 
-61.6162 3796.5514 14754.8924 
-89.8990 8081.8284 31698.0206 
-7.0707 49.9949 150.4846 
-79.7980 6367.7176 24912.2845 
-17.1717 294.8679 1059.2695 
1.0101 1.0203 11.1519 
67.6768 4580.1449 18794.3169 
37.3737 1396.7962 5848.8011 
-83.8384 7028.8746 27528.6297 
-59.5960 3551.6784 13789.5419 
-39.3939 1551.8825 5931.7723 
13.1313 172.4314 781.6447 
19.1919 368.3298 1607.6625 
9.0909 82.6446 394.2149 
-1.0101 1.0203 -2.9895 
-25.2525 637.6900 2373.9924 
45.4545 2066.1157 8582.6446 
83.8384 7028.8746 28702.3671 
25.2525 637.6900 2727.5278 
-77.7778 6049.3827 23653.0864 
87.8788 7722.6814 31505.8770 
51.5152 2653.8108 10975.8494 
11.1111 123.4568 571.6049 
-9.0909 82.6446 266.9421 
89.8990 8081.8284 32956.6065 
-85.8586 7371.6968 28885.7770 
-3.0303 9.1827 15.5188 
81.8182 6694.2149 27349.5868 
