2 100
216.9671 9600.0408 15303.8886 
-1008.6580 229.5684 386.8585 
154.3095 10000.0000 19790.8074 
348.2296 539.7408 2329.0732 
690.8495 7722.6814 18023.4185 
1622.0009 25.5076 2188.1746 
-220.5785 6367.7176 9696.2235 
1383.5210 49.9949 1503.8145 
-830.1724 123.4568 -681.5727 
522.9763 2866.0341 4261.9402 
3190.7146 6049.3827 13454.1353 
-633.3290 2653.8108 4783.3871 
527.1229 1715.1311 2749.5952 
-2805.6883 2066.1157 6444.3847 
-2135.8939 82.6446 -11.0765 
260.8443 4310.7846 12602.7626 
373.8121 5437.2003 11245.6987 
-629.8263 5739.2103 12163.7993 
917.6871 172.4314 4129.6908 
15.9854 449.9541 1018.3336 
1363.7085 7722.6814 13724.9751 
626.8432 3314.9679 5422.3145 
-3526.3740 4580.1449 8980.2037 
-378.1949 5739.2103 12295.9019 
189.2629 5143.3527 10092.4654 
2946.5075 2066.1157 4614.1612 
-413.7087 3086.4198 3078.0282 
-2216.0268 172.4314 -1751.9628 
2512.6867 9.1827 124.4454 
114.1234 980.5122 1991.7457 
1609.8622 7371.6968 12155.6523 
-2531.5545 5437.2003 10030.5785 
-1932.1481 1249.8725 487.7996 
-393.5587 1.0203 -1079.6985 
-128.9973 637.6900 1349.7581 
-225.8534 123.4568 645.0010 
57.2743 3551.6784 7005.4597 
-2799.3863 5143.3527 11981.3470 
2372.8326 3314.9679 3544.8174 
818.1538 10000.0000 19678.2426 
205.4025 9600.0408 22999.9015 
-2512.5167 449.9541 1681.1396 
362.4625 294.8679 488.8275 
-2139.5905 294.8679 -763.2171 
2467.7824 6049.3827 11148.6674 
465.2116 1249.8725 2478.6946 
-2619.2282 1886.5422 3665.0584 
-146.2068 1396.7962 2783.0104 
846.9128 1396.7962 -380.0891 
211.5210 858.0757 2180.0069 
-193.9899 2866.0341 5786.8136 
-1874.3930 8081.8284 18847.0261 
-1687.3794 858.0757 1439.9979 
-85.5648 7028.8746 13741.7789 
-255.0029 1.0203 230.1382 
-865.0700 3086.4198 9791.9823 
-2329.7486 4857.6676 9710.9234 
780.3108 1715.1311 4504.2583 
-2126.5264 539.7408 2309.1897 
146.0644 8824.6097 15025.2087 
266.3600 8824.6097 19169.4112 
1.8907 8449.1378 17508.6675 
2234.9987 3796.5514 6116.6533 
-822.4423 2253.8516 6462.9340 
-1157.1081 4857.6676 9284.6374 
1697.4871 1886.5422 4729.8241 
-1829.1776 25.5076 493.3060 
-2809.8596 9.1827 -79.7199 
685.3095 1551.8825 3893.9073 
1065.1860 229.5684 1359.3328 
2361.2922 7028.8746 16133.1704 
1724.7515 3551.6784 4276.0586 
-323.4865 368.3298 -461.6539 
-58.5215 2253.8516 6017.8146 
-164.1225 2449.7500 7701.5524 
-952.3167 49.9949 -575.7453 
-2102.6969 4049.5868 6545.6686 
3362.4061 8449.1378 18000.1509 
311.6513 3796.5514 7993.7521 
328.2413 2449.7500 7740.3437 
-1537.1904 6694.2149 13887.3772 
-1892.9400 9208.2441 16375.4015 
162.6004 7371.6968 15471.4887 
2212.1225 743.8017 2664.2865 
667.4096 4580.1449 8861.5897 
3362.8889 2653.8108 5096.5393 
1536.3009 8081.8284 16359.3062 
-1308.3156 82.6446 1557.9019 
-308.3687 980.5122 1984.8417 
476.3523 1111.1111 -539.8809 
-566.8377 1111.1111 3023.7364 
2736.2692 9208.2441 21361.0464 
-540.5753 4310.7846 7619.0845 
2027.8962 368.3298 1572.7763 
-188.7867 637.6900 1246.8642 
954.3719 6367.7176 9025.3572 
1864.0026 743.8017 2741.1839 
525.8691 4049.5868 7348.8084 
264.7335 1551.8825 3805.2539 
1098.4477 6694.2149 13264.6332 
